# RA	DEC
156.078744 -60.939336
156.145217 -60.888063
156.211477 -60.836758
156.277524 -60.785420
156.343360 -60.734050
156.408986 -60.682648
156.474402 -60.631213
156.539610 -60.579747
156.604610 -60.528250
156.669404 -60.476721
156.733992 -60.425160
156.798376 -60.373568
156.862556 -60.321946
156.926534 -60.270292
156.990309 -60.218608
157.053884 -60.166893
157.117259 -60.115148
157.180435 -60.063373
157.243413 -60.011568
157.306194 -59.959733
157.368779 -59.907868
157.431168 -59.855974
157.493364 -59.804050
157.555365 -59.752097
157.617174 -59.700115
157.678792 -59.648103
157.740218 -59.596063
157.801455 -59.543995
157.862503 -59.491898
157.923362 -59.439772
157.984034 -59.387619
158.044520 -59.335437
158.104820 -59.283227
158.164936 -59.230990
158.224867 -59.178725
158.284616 -59.126432
158.344182 -59.074112
158.403567 -59.021765
158.462771 -58.969391
158.521796 -58.916990
158.580642 -58.864562
158.639310 -58.812107
158.697800 -58.759626
158.756115 -58.707118
158.814253 -58.654584
158.872217 -58.602024
158.930007 -58.549438
158.987623 -58.496827
159.045067 -58.444189
159.102340 -58.391526
159.159441 -58.338837
159.216373 -58.286123
159.273135 -58.233384
159.329728 -58.180620
159.386154 -58.127830
159.442413 -58.075016
159.498506 -58.022177
159.554433 -57.969314
159.610195 -57.916426
159.665793 -57.863514
159.721228 -57.810577
159.776501 -57.757617
159.831611 -57.704632
159.886561 -57.651623
159.941350 -57.598591
159.995980 -57.545535
160.050451 -57.492456
160.104764 -57.439353
160.158919 -57.386227
160.212917 -57.333078
160.266759 -57.279906
160.320446 -57.226710
160.373979 -57.173492
160.427357 -57.120251
160.480582 -57.066988
160.533655 -57.013702
160.586575 -56.960394
160.639345 -56.907063
160.691963 -56.853711
160.744432 -56.800336
160.796752 -56.746939
160.848923 -56.693520
160.900947 -56.640080
160.952823 -56.586618
161.004552 -56.533135
161.056136 -56.479630
161.107574 -56.426103
161.158868 -56.372556
161.210018 -56.318987
161.261024 -56.265398
161.311888 -56.211787
161.362609 -56.158156
161.413189 -56.104504
161.463629 -56.050831
161.513928 -55.997138
161.564087 -55.943425
161.614108 -55.889691
161.663990 -55.835937
161.713735 -55.782163
161.763342 -55.728368
162.789007 -56.021106
163.830406 -56.304863
164.887433 -56.579406
165.959947 -56.844507
167.047762 -57.099934
168.150652 -57.345460
169.268346 -57.580856
170.400528 -57.805901
171.546833 -58.020373
172.706849 -58.224056
173.880116 -58.416742
175.066123 -58.598226
176.264311 -58.768312
177.474072 -58.926811
178.694750 -59.073545
179.925642 -59.208343
-178.833999 -59.331048
-177.584964 -59.441513
-176.328084 -59.539605
-175.064227 -59.625203
-173.794295 -59.698200
-172.519219 -59.758505
-171.239957 -59.806041
-169.957488 -59.840747
-168.672805 -59.862580
-167.386916 -59.871511
-166.100832 -59.867527
-164.815568 -59.850636
-163.532132 -59.820857
-162.251524 -59.778231
-160.974730 -59.722810
-159.702716 -59.654666
-158.436423 -59.573884
-157.176765 -59.480566
-155.924624 -59.374826
-154.680846 -59.256794
-153.446236 -59.126611
-152.221559 -58.984431
-151.007535 -58.830419
-149.804838 -58.664751
-148.614095 -58.487611
-147.435884 -58.299194
-146.270734 -58.099699
-145.119124 -57.889335
-143.981485 -57.668316
-142.858200 -57.436860
-141.749604 -57.195188
-140.655983 -56.943528
-139.577583 -56.682106
-138.514603 -56.411154
-137.467202 -56.130900
-136.435499 -55.841576
-135.419575 -55.543412
-134.419477 -55.236638
-133.435217 -54.921482
-132.466777 -54.598170
-131.514110 -54.266925
-130.577143 -53.927968
-129.655777 -53.581516
-128.749893 -53.227785
-127.859350 -52.866984
-126.983987 -52.499320
-126.123631 -52.124995
-125.278091 -51.744207
-124.447163 -51.357151
-123.630633 -50.964015
-122.828276 -50.564984
-122.039860 -50.160237
-121.265145 -49.749951
-120.503884 -49.334296
-119.755827 -48.913437
-119.020720 -48.487536
-118.298305 -48.056750
-117.588323 -47.621230
-116.890514 -47.181125
-116.204618 -46.736577
-115.530373 -46.287726
-114.867522 -45.834705
-114.215805 -45.377646
-113.574966 -44.916674
-112.944752 -44.451912
-112.324910 -43.983478
-111.715194 -43.511487
-111.115357 -43.036050
-110.525158 -42.557273
-109.944359 -42.075262
-109.372726 -41.590115
-108.810029 -41.101931
-108.256041 -40.610803
-107.710540 -40.116822
-107.173310 -39.620077
-106.644136 -39.120651
-106.122809 -38.618628
-105.609126 -38.114087
-105.102885 -37.607105
-104.603891 -37.097757
-104.111951 -36.586114
-103.626879 -36.072246
-103.148492 -35.556220
-103.218068 -35.513866
-103.287571 -35.471473
-103.357001 -35.429040
-103.426358 -35.386566
-103.495641 -35.344054
-103.564852 -35.301502
-103.633990 -35.258910
-103.703055 -35.216279
-103.772048 -35.173609
-103.840968 -35.130900
-103.909816 -35.088152
-103.978592 -35.045365
-104.047295 -35.002540
-104.115927 -34.959675
-104.184487 -34.916772
-104.252976 -34.873831
-104.321393 -34.830851
-104.389738 -34.787833
-104.458012 -34.744777
-104.526215 -34.701683
-104.594347 -34.658551
-104.662408 -34.615381
-104.730398 -34.572173
-104.798318 -34.528928
-104.866167 -34.485644
-104.933945 -34.442324
-105.001654 -34.398966
-105.069292 -34.355571
-105.136860 -34.312139
-105.204358 -34.268670
-105.271787 -34.225163
-105.339146 -34.181620
-105.406435 -34.138040
-105.473655 -34.094424
-105.540806 -34.050770
-105.607887 -34.007081
-105.674899 -33.963355
-105.741843 -33.919593
-105.808718 -33.875794
-105.875524 -33.831960
-105.942262 -33.788089
-106.008931 -33.744183
-106.075532 -33.700240
-106.142065 -33.656262
-106.208530 -33.612249
-106.274927 -33.568200
-106.341256 -33.524115
-106.407518 -33.479996
-106.473712 -33.435841
-106.539839 -33.391651
-106.605899 -33.347425
-106.671891 -33.303165
-106.737817 -33.258870
-106.803676 -33.214541
-106.869468 -33.170176
-106.935193 -33.125778
-107.000852 -33.081344
-107.066445 -33.036876
-107.131971 -32.992374
-107.197431 -32.947838
-107.262826 -32.903268
-107.328154 -32.858663
-107.393417 -32.814025
-107.458614 -32.769353
-107.523746 -32.724647
-107.588813 -32.679908
-107.653814 -32.635135
-107.718751 -32.590328
-107.783622 -32.545489
-107.848429 -32.500616
-107.913171 -32.455709
-107.977848 -32.410770
-108.042461 -32.365797
-108.107010 -32.320792
-108.171495 -32.275754
-108.235915 -32.230683
-108.300272 -32.185580
-108.364565 -32.140444
-108.428794 -32.095275
-108.492960 -32.050074
-108.557062 -32.004841
-108.621102 -31.959576
-108.685078 -31.914278
-108.748991 -31.868949
-108.812841 -31.823587
-108.876628 -31.778194
-108.940353 -31.732769
-109.004016 -31.687312
-109.067616 -31.641824
-109.131153 -31.596304
-109.194629 -31.550753
-109.258043 -31.505170
-109.321395 -31.459556
-109.384685 -31.413912
-109.447914 -31.368236
-109.511081 -31.322529
-109.574187 -31.276791
-109.637231 -31.231022
-109.700215 -31.185222
-109.549825 -31.033558
-109.400022 -30.881642
-109.250801 -30.729475
-109.102160 -30.577059
-108.954094 -30.424397
-108.806600 -30.271491
-108.659673 -30.118342
-108.513309 -29.964952
-108.367505 -29.811324
-108.222258 -29.657459
-108.077562 -29.503360
-107.933415 -29.349027
-107.789813 -29.194463
-107.646751 -29.039670
-107.504227 -28.884649
-107.362236 -28.729403
-107.220775 -28.573933
-107.079839 -28.418241
-106.939427 -28.262328
-106.799533 -28.106197
-106.660154 -27.949849
-106.521287 -27.793286
-106.382928 -27.636510
-106.245074 -27.479521
-106.107720 -27.322323
-105.970864 -27.164917
-105.834501 -27.007304
-105.698629 -26.849485
-105.563243 -26.691463
-105.428341 -26.533240
-105.293919 -26.374816
-105.159974 -26.216193
-105.026501 -26.057374
-104.893498 -25.898358
-104.760962 -25.739149
-104.628889 -25.579747
-104.497275 -25.420155
-104.366117 -25.260372
-104.235413 -25.100402
-104.105158 -24.940246
-103.975350 -24.779904
-103.845985 -24.619379
-103.717060 -24.458672
-103.588571 -24.297783
-103.460517 -24.136716
-103.332892 -23.975471
-103.205695 -23.814049
-103.078922 -23.652453
-102.952570 -23.490682
-102.826635 -23.328739
-102.701116 -23.166625
-102.576007 -23.004342
-102.451308 -22.841890
-102.327014 -22.679271
-102.203122 -22.516487
-102.079630 -22.353538
-101.956535 -22.190426
-101.833832 -22.027152
-101.711521 -21.863717
-101.589597 -21.700123
-101.468057 -21.536371
-101.346900 -21.372462
-101.226121 -21.208397
-101.105718 -21.044178
-100.985688 -20.879806
-100.866028 -20.715282
-100.746735 -20.550607
-100.627807 -20.385782
-100.509241 -20.220809
-100.391034 -20.055688
-100.273183 -19.890421
-100.155685 -19.725009
-100.038538 -19.559453
-99.921739 -19.393755
-99.805284 -19.227914
-99.689173 -19.061933
-99.573401 -18.895813
-99.457966 -18.729554
-99.342866 -18.563157
-99.228097 -18.396625
-99.113658 -18.229957
-98.999545 -18.063155
-98.885756 -17.896220
-98.772289 -17.729152
-98.659140 -17.561954
-98.546308 -17.394626
-98.433789 -17.227168
-98.321581 -17.059583
-98.209682 -16.891870
-98.098089 -16.724032
-97.986799 -16.556068
-97.875811 -16.387980
-97.765121 -16.219769
-97.654728 -16.051436
-97.544628 -15.882982
-97.434819 -15.714407
-97.325300 -15.545713
-97.216067 -15.376901
-97.107117 -15.207971
-97.044869 -15.245278
-96.982597 -15.282568
-96.920304 -15.319842
-96.857989 -15.357097
-96.795651 -15.394336
-96.733291 -15.431557
-96.670909 -15.468761
-96.608504 -15.505947
-96.546077 -15.543116
-96.483627 -15.580267
-96.421155 -15.617400
-96.358660 -15.654516
-96.296142 -15.691614
-96.233602 -15.728695
-96.171039 -15.765757
-96.108453 -15.802802
-96.045844 -15.839829
-95.983212 -15.876837
-95.920557 -15.913828
-95.857879 -15.950801
-95.795178 -15.987755
-95.732454 -16.024692
-95.669706 -16.061610
-95.606935 -16.098510
-95.544141 -16.135391
-95.481324 -16.172255
-95.418483 -16.209099
-95.355618 -16.245926
-95.292730 -16.282733
-95.229819 -16.319523
-95.166884 -16.356293
-95.103925 -16.393045
-95.040942 -16.429778
-94.977935 -16.466492
-94.914905 -16.503188
-94.851851 -16.539864
-94.788773 -16.576522
-94.725670 -16.613161
-94.662544 -16.649780
-94.599393 -16.686381
-94.536219 -16.722962
-94.473020 -16.759524
-94.409797 -16.796067
-94.346549 -16.832591
-94.283277 -16.869095
-94.219981 -16.905580
-94.156660 -16.942045
-94.093315 -16.978491
-94.029945 -17.014917
