# RA	DEC
-78.610000 -29.040000
-90.000000 -29.440000
-101.390000 -29.040000
-112.630000 -27.880000
-123.590000 -26.010000
-134.200000 -23.510000
-144.420000 -20.500000
-154.290000 -17.080000
-163.860000 -13.370000
-173.200000 -9.470000
-179.640000 -6.700000
-180.000000 0.000000
-180.000000 0.000000
-165.970000 0.000000
-160.000000 0.000000
-149.970000 -5.850000
-140.500000 -9.110000
-130.800000 -11.950000
-120.870000 -14.280000
-110.720000 -16.010000
-100.410000 -17.080000
-90.000000 -17.430000
-79.590000 -17.080000
-69.280000 -16.010000
-59.130000 -14.280000
-49.200000 -11.950000
-39.500000 -9.110000
-30.030000 -5.850000
-20.730000 -2.260000
-15.210000 -0.010000
0.000000 -2.480000
0.000000 -6.550000
-2.190000 -7.490000
-6.800000 -9.470000
-16.120000 -13.370000
-25.710000 -17.080000
-35.580000 -20.500000
-45.800000 -23.510000
-56.410000 -26.010000
-67.370000 -27.880000
-78.610000 -29.040000
